Product,Firm Name & Address,OM No & Date,Expiry Date,Remarks,phonenumber,address_line1,address_line2,city,state,postal_code
LT Protection Horn Gap fuse unit.,"M/s. Vimal Power Process, Plot No. 3, Survey No. 36/1, Near Shreeji Industrial Estate, Bileshwarpura, Chhatral, Taluka-Kadi, District-Mehsana, Gujarat-382729. Ph: 9825036600",35482-85 Dt:18.10.2023,17.10.2025,02 Years,9825036600,M/s. Vimal Power Process,Plot No. 3,Gujarat-,,382729
"11kV, 200A 3 pole Air-break Disconnector (GOS) with epoxy resin Insulator","M/s. Vimal Power Process, Plot No. 3, Survey No. 36/1, Near Shreeji Industrial Estate, Bileshwarpura, Chhatral, Taluka-Kadi, District-Mehsana, Gujarat-382729. Ph: 9825036600",35482-85 Dt:18.10.2023,17.10.2025,02 Years,9825036600,M/s. Vimal Power Process,Plot No. 3,Gujarat-,,382729
LT Protection Horn Gap fuse unit.,"M/s. Vimal Power Process, Plot No. 3, Survey No. 36/1, Near Shreeji Industrial Estate, Bileshwarpura, Chhatral, Taluka-Kadi, District-Mehsana, Gujarat-382729. Ph: 9825036600",35482-85 Dt:18.10.2023,17.10.2025,02 Years,9825036600,M/s. Vimal Power Process,Plot No. 3,Gujarat-,,382729
11 kV Disc Insulator 45 KN (B) Insulator as per IS: 731,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
11 kV Solid Core Insulator,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
11 kV Pin Insulator No. 5 Shank Insulator,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
11 kV Pin Insulator No. 8 Shank Insulator,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
9 kV Pin Insulator No. 9 Shank Insulator,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
11 kV Polymer Post Insulator,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
11 kV Polymer Disc Insulator,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
11 kV Polymer Pin Insulator,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
11 kV Polymer Post Insulator,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
33 kV Polymer Disc Insulator,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
33 kV Polymer Pin Insulator,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
33 kV Polymer Post Insulator,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
11 kV GI Pin,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
11 kV GI Pin with Top Insulator,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
11 kV GI Pin with Top Insulator & GI Pin,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
11 kV GI Pin with Top Insulator & GI Pin & Hooks,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
PVC Clamp,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
Suspension Clamp,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
Dead End Clamp,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
Tension Clamp,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
Disc Fitting,"M/s. Naseeb Polytech, Industrial Area, G.T. Road, Jugiana, Ludhiana (Pb) Ph: 0161-2511106, 9-9877011107",34924-45 Dtd: 18.10.2023,17.10.2025,02 Years,161-2511106 / 9877011107,M/s. Naseeb Polytech,Industrial Area,9-,,
2 Pin X Arm,"M/s. Vinjal Ranjhini General Engineering Industries, Plot No. 44, 4th Cross KSSIDC 2nd Stage, R.M.C. Yard Road, Mahaguli. B917720049",35019-22 Dtd: 18.10.2023,17.10.2025,02 Years,917720049,M/s. Vinjal Ranjhini General Engineering Industries,Plot No. 44,Mahaguli. B,,
4 Pin X Arm,"M/s. Vinjal Ranjhini General Engineering Industries, Plot No. 44, 4th Cross KSSIDC 2nd Stage, R.M.C. Yard Road, Mahaguli. B917720049",35019-22 Dtd: 18.10.2023,17.10.2025,02 Years,917720049,M/s. Vinjal Ranjhini General Engineering Industries,Plot No. 44,Mahaguli. B,,
RCC/PCC Clamps,"M/s. Vinjal Ranjhini General Engineering Industries, Plot No. 44, 4th Cross KSSIDC 2nd Stage, R.M.C. Yard Road, Mahaguli. B917720049",35019-22 Dtd: 18.10.2023,17.10.2025,02 Years,917720049,M/s. Vinjal Ranjhini General Engineering Industries,Plot No. 44,Mahaguli. B,,
Stay Clamps,"M/s. Vinjal Ranjhini General Engineering Industries, Plot No. 44, 4th Cross KSSIDC 2nd Stage, R.M.C. Yard Road, Mahaguli. B917720049",35019-22 Dtd: 18.10.2023,17.10.2025,02 Years,917720049,M/s. Vinjal Ranjhini General Engineering Industries,Plot No. 44,Mahaguli. B,,
HT T. Pole Support,"M/s. Vinjal Ranjhini General Engineering Industries, Plot No. 44, 4th Cross KSSIDC 2nd Stage, R.M.C. Yard Road, Mahaguli. B917720049",35019-22 Dtd: 18.10.2023,17.10.2025,02 Years,917720049,M/s. Vinjal Ranjhini General Engineering Industries,Plot No. 44,Mahaguli. B,,
HT T. Top X-arm,"M/s. Vinjal Ranjhini General Engineering Industries, Plot No. 44, 4th Cross KSSIDC 2nd Stage, R.M.C. Yard Road, Mahaguli. B917720049",35019-22 Dtd: 18.10.2023,17.10.2025,02 Years,917720049,M/s. Vinjal Ranjhini General Engineering Industries,Plot No. 44,Mahaguli. B,,
Horizontal X-arm,"M/s. Vinjal Ranjhini General Engineering Industries, Plot No. 44, 4th Cross KSSIDC 2nd Stage, R.M.C. Yard Road, Mahaguli. B917720049",35019-22 Dtd: 18.10.2023,17.10.2025,02 Years,917720049,M/s. Vinjal Ranjhini General Engineering Industries,Plot No. 44,Mahaguli. B,,
T&C Set,"M/s. Vinjal Ranjhini General Engineering Industries, Plot No. 44, 4th Cross KSSIDC 2nd Stage, R.M.C. Yard Road, Mahaguli. B917720049",35019-22 Dtd: 18.10.2023,17.10.2025,02 Years,917720049,M/s. Vinjal Ranjhini General Engineering Industries,Plot No. 44,Mahaguli. B,,
T&C Set,"M/s. Vinjal Ranjhini General Engineering Industries, Plot No. 44, 4th Cross KSSIDC 2nd Stage, R.M.C. Yard Road, Mahaguli. B917720049",35019-22 Dtd: 18.10.2023,17.10.2025,02 Years,917720049,M/s. Vinjal Ranjhini General Engineering Industries,Plot No. 44,Mahaguli. B,,
Guy Rod,"M/s. Vinjal Ranjhini General Engineering Industries, Plot No. 44, 4th Cross KSSIDC 2nd Stage, R.M.C. Yard Road, Mahaguli. B917720049",35019-22 Dtd: 18.10.2023,17.10.2025,02 Years,917720049,M/s. Vinjal Ranjhini General Engineering Industries,Plot No. 44,Mahaguli. B,,
33 kV Outdoor Type Oil Cooled PTs,"M/s. SNRV Electricals Pvt. Ltd., Sy.No.47/A/1, Gaddad Plot, Gaddadadinni, Gadag Road, Raichur. Ph: 9449153001",3502-526 Dated: 18.10.2023,17.10.2025,02 Years,9449153001,M/s. SNRV Electricals Pvt. Ltd,Sy.No.47/A/1,Raichur,,
33 kV Tower Parts with Nut and Bolts a) M+0 Tower Parts (33 kV) b) M+1 Tower Parts (33 kV) c) M+2 Tower Parts (33 kV) d) M+2+1 Tower Parts (33 kV),"M/s. ON Sai Industries, Plot No. 3, Phase II Main Road, IDA Cherlapally, Hyderabad, Telangana. Ph: 9848777233",3502-530 Dated: 18.10.2023,17.10.2025,02 Years,9848777233,M/s. ON Sai Industries,Plot No. 3,Telangana,,
ACSR Weasel Conductors (size 7/2.50 mm),"M/s. Excel Wires & Conductors, Plot No. 57, Blue Land, Industrial Estate, Udyambag-580001 Ph: 9449114041",3501-541 Dated: 18.10.2023,17.10.2025,02 Years,9449114041,M/s. Excel Wires & Conductors,Plot No. 57,Udyambag-,,580001
ACSR Rabbit Conductors (size 7/3.35 mm),"M/s. Excel Wires & Conductors, Plot No. 57, Blue Land, Industrial Estate, Udyambag-580001 Ph: 9449114041",3501-541 Dated: 18.10.2023,17.10.2025,02 Years,9449114041,M/s. Excel Wires & Conductors,Plot No. 57,Udyambag-,,580001
ACSR Coyote Conductors (size 7/4.09 mm + 7/1.96 mm),"M/s. Excel Wires & Conductors, Plot No. 57, Blue Land, Industrial Estate, Udyambag-580001 Ph: 9449114041",3501-541 Dated: 18.10.2023,17.10.2025,02 Years,9449114041,M/s. Excel Wires & Conductors,Plot No. 57,Udyambag-,,580001
11 kV Horizontal Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063,M/s. Electro Fab,B-402,2332068,,580030
11 kV V Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063,M/s. Electro Fab,B-402,2332068,,580030
2 Pin Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063,M/s. Electro Fab,B-402,2332068,,580030
4 Pin Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063,M/s. Electro Fab,B-402,2332068,,580030
LT V Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063,M/s. Electro Fab,B-402,2332068,,580030
LT Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063,M/s. Electro Fab,B-402,2332068,,580030
GI Pins,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063,M/s. Electro Fab,B-402,2332068,,580030
11 kV & LT GI Pins,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063,M/s. Electro Fab,B-402,2332068,,580030
33 kV Horizontal Cross Arms,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063,M/s. Electro Fab,B-402,2332068,,580030
33 kV D.P. Sets.,"M/s. Electro Fab, B-402, Industrial Estate, 2nd Gate, Gokul Road, Hubballi-580030. Ph: 9448122063, 2353170, 2332068",3505-538 Dated: 18.10.2023,17.10.2025,02 Years,9448122063,M/s. Electro Fab,B-402,2332068,,580030
9 Mtr RCC Poles (pls 200kg),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
9 Mtr PSC poles (pls 200kg),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
8 Mtr RCC poles (pls 200kg),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
RCC Cem. poles,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
9 Mtr PSC poles (pls 300kg & 200kg W/L),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
9 Mtr PSC poles (pls 300kg & 200kg W/L),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
Pin Cross Arm,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
Special 3 Pin Cross Arm,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
Special 3 Pin Cross Arm (With GI Frame),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
HT & LT Top Support,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
EG Structure,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
DP Structure (With GI Frame),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
Guiding Set,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
Single Pole DP Structure (With GI Frame),"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
33kV Horizontal Cross Arm,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
33kV Guy rod,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
Vested ACSR Conductor,"M/s. Gayathri Industries, Gas Factory Cross, Hanuman Nagar, Ujiri, Dharwad-580001. Mobile: 9448220007",,17.10.2025,02 Years,9448220007,M/s. Gayathri Industries,Gas Factory Cross,Dharwad-,,580001
4 Pin Cross Arm,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
2 Pin Cross Arm,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
V Shape Cross Arms,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
Top Support,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
HT & LT Top Support,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
DP Structure,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
Horizontal Cross Arms,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
Pole top clamps,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
Guy set,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
Egg set (Disc & Pin Insulator),"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
Egg set (Disc & Pin Insulator),"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
Special 3 Pin Cross Arms,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
Special 3 Pin Cross Arms,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
V shape cross arms,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
33kV Guy set,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
33kV DP set,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
33kV Horizontal Cross Arms,"M/s. K.V.T Associates, Plot No. 89 P1, 2nd stage, Industrial Area, K.I.A.D.B, Basavangudi Road, Ballari-583102. Ph:8050473774/9448048607",,17.10.2025,02 Years,8050473774 / 9448048607,M/s. K.V.T Associates,Plot No. 89 P1,Ballari-. /,,583102
ACSR Rabbit Conductor (Size: 35 sqmm),"M/s. Keshari Corporation, D.No. 3-3, Srinivas Sadan, S.B. Temple Road, Kalaburagi. Ph:08472-277738 Mobile:9341235335",3564-40 Dated:18.10.2023,17.10.2025,02 Years,472-277738 / 9341235335,M/s. Keshari Corporation,D.No. 3-3,Kalaburagi. 08,,
ACSR Weasel Conductor (Size: 25 sqmm),"M/s. Keshari Corporation, D.No. 3-3, Srinivas Sadan, S.B. Temple Road, Kalaburagi. Ph:08472-277738 Mobile:9341235335",3564-40 Dated:18.10.2023,17.10.2025,02 Years,472-277738 / 9341235335,M/s. Keshari Corporation,D.No. 3-3,Kalaburagi. 08,,
ACSR Squirrel Conductor (Size: 17.5 sqmm),"M/s. Keshari Corporation, D.No. 3-3, Srinivas Sadan, S.B. Temple Road, Kalaburagi. Ph:08472-277738 Mobile:9341235335",3564-40 Dated:18.10.2023,17.10.2025,02 Years,472-277738 / 9341235335,M/s. Keshari Corporation,D.No. 3-3,Kalaburagi. 08,,
11KV VCBs (Outdoor VCBs),"M/s. Venkai Switchgears, No.150/1, 10th Main Road, 3rd Phase, Peenya Industrial Area, Bangalore-560058. Ph:9972714514/9980402560",3564-53 Dated:18.10.2023,17.10.2025,02 Years,9972714514 / 9980402560,M/s. Venkai Switchgears,No.150/1,Bangalore-. /,,560058
11KV VCBs (Indoor VCBs),"M/s. Venkai Switchgears, No.150/1, 10th Main Road, 3rd Phase, Peenya Industrial Area, Bangalore-560058. Ph:9972714514/9980402560",3564-53 Dated:18.10.2023,17.10.2025,02 Years,9972714514 / 9980402560,M/s. Venkai Switchgears,No.150/1,Bangalore-. /,,560058
11KV Load Break Switch (Module LBS),"M/s. Venkai Switchgears, No.150/1, 10th Main Road, 3rd Phase, Peenya Industrial Area, Bangalore-560058. Ph:9972714514/9980402560",3564-53 Dated:18.10.2023,17.10.2025,02 Years,9972714514 / 9980402560,M/s. Venkai Switchgears,No.150/1,Bangalore-. /,,560058
11KV Potential Transformers,"M/s. Venkai Switchgears, No.150/1, 10th Main Road, 3rd Phase, Peenya Industrial Area, Bangalore-560058. Ph:9972714514/9980402560",3564-53 Dated:18.10.2023,17.10.2025,02 Years,9972714514 / 9980402560,M/s. Venkai Switchgears,No.150/1,Bangalore-. /,,560058
11KV Horizontal X-arms,"M/s. Sri Ganesh Electrical, Shop-7, Auto Nagar, Hyderabad Road, Raichur. Ph:9844477708",3564-57 Dated:18.10.2023,17.10.2025,02 Years,9844477708,M/s. Sri Ganesh Electrical,Shop-7,Raichur,,
11KV V-X-arms,"M/s. Sri Ganesh Electrical, Shop-7, Auto Nagar, Hyderabad Road, Raichur. Ph:9844477708",3564-57 Dated:18.10.2023,17.10.2025,02 Years,9844477708,M/s. Sri Ganesh Electrical,Shop-7,Raichur,,
DPC Set,"M/s. Sri Ganesh Electrical, Shop-7, Auto Nagar, Hyderabad Road, Raichur. Ph:9844477708",3564-57 Dated:18.10.2023,17.10.2025,02 Years,9844477708,M/s. Sri Ganesh Electrical,Shop-7,Raichur,,
